"","","","z"
"1",-0.0937611714090458,-0.391374995020634,1
"2",-0.219348207977228,-0.300209999522465,1
"3",-1.40417847693719,0.493228561661856,1
"4",-1.34877300445325,-1.54530385251841,1
"5",0.175415686312536,-0.923656275143505,1
"6",-0.742069314204795,-0.909209256902928,1
"7",0.136135293868686,-0.805349353098799,1
"8",-0.529727749713602,-0.579722334195754,1
"9",0.195629339004342,0.51622283237552,1
"10",-0.869832055168778,-0.701268349046798,1
"11",0.216636292976896,-0.0647593323529718,1
"12",-1.83927430340102,-0.719927841813581,1
"13",-0.714717634869633,0.30195195051481,1
"14",0.0593999536794928,-1.46033893260958,1
"15",0.94881729336113,-0.233917038970168,1
"16",0.00308755213182802,-1.20166001103542,1
"17",-0.244024961315783,-1.03559683820316,1
"18",-0.650542161980111,-0.598065479924367,1
"19",-0.206933490970566,0.155861905643259,1
"20",-0.848619571125855,-0.375508107265318,1
"21",-0.320791653844869,0.0206142655569195,1
"22",-0.546907268433143,-0.549092631249783,1
"23",-1.11110883631983,-1.18581248094639,1
"24",-0.677180379954709,-0.103748353040645,1
"25",-1.04726930771828,-0.198290007536881,1
"26",-0.154045086370374,-0.224222891987053,1
"27",-1.28367309348607,-0.670330643869233,1
"28",-1.50128810103904,-0.791683471362915,1
"29",-0.904058486016901,0.0301586244782283,1
"30",-0.347478865811271,-0.449889377980511,1
"31",-0.578174727734796,0.0551509408440839,1
"32",-0.256803573923309,-0.466177987697478,1
"33",-0.114014036996233,-1.00920647096034,1
"34",-1.24040177068703,0.39428122336527,1
"35",0.0296108414731532,0.560282493507584,1
"36",0.885441678419025,0.226250297128399,1
"37",-0.348542492517448,-0.589246968508706,1
"38",-0.912472580595771,-0.391777268109414,1
"39",-0.407042759415992,-0.895105758443385,1
"40",-0.886705856296784,-0.893437824479435,1
"41",0.236164179870242,-0.335728980283585,1
"42",0.904121067063311,-0.643079740548334,1
"43",-1.06959398428929,0.202446630566953,1
"44",-0.483610338219507,-0.259818432905835,1
"45",-0.681492061283435,-0.0712131156614365,1
"46",-0.465084813627611,-1.50672820729508,1
"47",0.431036724641124,0.658512287746897,1
"48",-0.972247889047994,-0.399161017360661,1
"49",-0.459569146100386,0.334142977751086,1
"50",0.589461778566825,0.389377161578506,1
"51",-0.483621074260826,-0.36779945742649,1
"52",0.718001920598356,0.0453981673610979,1
"53",-0.88832686607914,-0.809848696292468,1
"54",-0.609784265239444,-0.52372809957157,1
"55",-0.681473525088886,-0.261456470684138,1
"56",-0.0143112606092453,-1.14234447215156,1
"57",-0.69522821245266,-0.612613772576051,1
"58",-0.668036603513878,-0.893960223274803,1
"59",-0.625852962527503,-1.11053470056048,1
"60",-1.33144393710837,-1.24593329591162,1
"61",-0.593214599848854,-0.872366877671051,1
"62",-0.114019602709868,-0.315104615477827,1
"63",-0.530037882181305,-0.209460635385952,1
"64",-1.7619641611448,-0.045457690045965,1
"65",-0.637888472728918,-0.77535125224773,1
"66",-0.792619358838128,0.480455340135816,1
"67",-0.76967364419874,0.945457191412639,1
"68",-0.514260149938582,-1.0199717305856,1
"69",0.759094092432985,0.407418183656165,1
"70",-0.0405008677348719,-0.356020655237061,1
"71",-1.37090145534748,-0.587165443445186,1
"72",0.238154416001409,-0.910361065805152,1
"73",-0.222772817765521,-0.205189113205363,1
"74",0.37709089239565,-0.395938862002847,1
"75",-1.09654463732043,-0.581391612541238,1
"76",0.301964547880075,-0.615225622133954,1
"77",-0.407010126530557,-0.262443779825135,1
"78",0.410983204578282,-0.55597702079542,1
"79",-0.0851769890184125,-0.390621945575093,1
"80",-1.56872443965259,-0.341277157903557,1
"81",-0.0512883494704593,-0.121392128724751,1
"82",-0.472580113077025,0.362841590754507,1
"83",-1.20834921558175,-1.37288164505884,1
"84",-0.0443583306050718,-1.07854415936296,1
"85",0.0144558994573568,-0.696228648121907,1
"86",-0.304582063752994,-0.713185258180587,1
"87",-0.929429069324257,0.573363725922378,1
"88",-0.432464496580865,0.289731231760519,1
"89",0.0520572082217393,-0.354774455972032,1
"90",-1.39099564101524,-0.384601304422492,1
"91",0.204008208965661,-0.270382067360194,1
"92",0.962765801952426,-1.29509587105302,1
"93",-0.889553004914372,-2.5111276883488,1
"94",0.501205013951695,-0.399168809342871,1
"95",-0.105234271595861,-0.30197472967633,1
"96",-0.454935649801221,-0.0590649046570113,1
"97",-0.737179755066799,0.125044091107633,1
"98",-1.03922891643207,0.0569289540483765,1
"99",-1.44493271318896,-0.165824928929593,1
"100",-0.0817810473509076,-0.91624380129749,1
"101",-0.230134864850149,0.59890150405674,2
"102",0.662684832182225,0.847289163629406,2
"103",2.12242901643356,0.0519095675168608,2
"104",-0.122955265978269,1.35973526027913,2
"105",0.226987121651462,0.471820366433308,2
"106",-2.6189239734922,2.50674909924463,2
"107",1.32309977498381,-0.330020761075627,2
"108",0.786066923661403,0.716967912307735,2
"109",0.813870588544667,1.39223085319603,2
"110",1.43428249219609,-0.508910196631748,2
"111",0.257696459455053,-1.73374068475631,2
"112",0.527159862764503,-0.918946200250943,2
"113",1.15138033439856,0.930994271541819,2
"114",0.429436177227088,-0.100375159482555,2
"115",3.73160338290695,-2.20303478389917,2
"116",1.74850785648608,-0.605118361408674,2
"117",-0.153029750646863,-0.687955133845184,2
"118",0.883596732826494,0.531270680646578,2
"119",-0.437775383583256,0.971308046350829,2
"120",-1.10138859521377,2.36977558171087,2
"121",0.416056070724969,1.15059896844162,2
"122",3.1816576548577,-0.849277274080693,2
"123",1.36873894976732,-0.63024585865511,2
"124",0.949768728423237,0.193906676575229,2
"125",0.964541674488455,-0.520991139922189,2
"126",1.60307366775149,-1.55003342603861,2
"127",-1.2154151847515,1.02912911824144,2
"128",-0.375784623926609,0.626227752483886,2
"129",1.7143085009072,0.400826506425802,2
"130",-0.329317725203534,2.09743893214624,2
"131",0.837403103999395,-0.415969478526525,2
"132",-0.841982383017748,0.672649364854094,2
"133",-0.326732064591613,1.3717844091084,2
"134",1.69261624875223,1.55657768213573,2
"135",0.792131844548967,-0.617388295631324,2
"136",-0.490238158334401,-0.156214315103546,2
"137",0.729807704171735,1.70621740890394,2
"138",2.0838380591555,0.18532870766396,2
"139",1.14460221521631,0.862152949634706,2
"140",-0.464804533612998,2.05969007573444,2
"141",0.251683489589424,0.407559204176709,2
"142",-0.5255500439304,1.02007997495337,2
"143",-1.02990315580151,1.22173488748441,2
"144",0.626460328445484,-0.113453082296728,2
"145",-1.00462545582976,0.971257797481336,2
"146",1.4282194590125,-0.354445693603234,2
"147",-1.15385246248536,1.4485395810472,2
"148",0.528892626088754,0.467135627931593,2
"149",0.0964126551996482,0.107165910325374,2
"150",1.41563156060846,-0.300819224014083,2
"151",2.47810610300568,-1.53441443629294,2
"152",0.277508809350249,1.16110444611788,2
"153",0.500356405418952,0.845528933012305,2
"154",0.590430626058815,-0.366242786219064,2
"155",0.133460223854086,-1.26979807249789,2
"156",-1.31655695072104,2.25542482751746,2
"157",1.83458692334151,-1.74787440539637,2
"158",0.345487454724194,1.18564275749467,2
"159",0.870864220569514,2.12128199856051,2
"160",0.917515507974362,-0.115468814423256,2
"161",-1.00900292752806,1.6293677904397,2
"162",-1.05772574960774,2.74703864856284,2
"163",1.06844621498915,0.940255075690897,2
"164",0.334956655167433,0.767970197061437,2
"165",0.884652017721587,1.15793186953111,2
"166",1.60932912966574,-1.82756520055921,2
"167",-0.0430603822813793,0.52929791595882,2
"168",1.50252758915673,-0.383812511822843,2
"169",1.36295942101816,-1.71602331255296,2
"170",-1.99158801943909,0.916424288886392,2
"171",-0.33024271752807,0.621664255590928,2
"172",0.53286364270496,0.551260749475041,2
"173",-1.66416855553735,1.62902634692316,2
"174",-1.12868128388298,-1.07701584209856,2
"175",-1.79393719142146,2.21590557490745,2
"176",0.402848175831504,0.710713453864698,2
"177",0.905193300934354,0.0893429839961992,2
"178",1.40214177288326,-0.937314983853323,2
"179",0.163500739660362,0.932073874928559,2
"180",2.13789281182404,-0.765785873576403,2
"181",0.41398080005175,-0.324178021386176,2
"182",1.38542501989086,-0.174671205751323,2
"183",0.813016629014386,2.09779678396943,2
"184",0.308832185964884,0.123673781002589,2
"185",-0.586821150855974,1.45079787353675,2
"186",2.05265773689042,-1.07051398423212,2
"187",-0.209434327870836,0.491591973520505,2
"188",0.410444292900222,1.04278569962727,2
"189",-0.681305182016253,1.64266213197129,2
"190",1.4138899422327,1.55785133816392,2
"191",-0.259793794670109,2.74311086869726,2
"192",1.58486009385729,-0.0458279246562015,2
"193",-1.09305655486041,2.32292993886643,2
"194",-0.402001886178561,0.388487635936797,2
"195",-0.341802449450548,-0.508304443822769,2
"196",1.65055592624922,-1.88890373723361,2
"197",-0.406691073032298,-0.596244918408878,2
"198",0.965518799304285,0.263600987887584,2
"199",0.574188325831144,-0.558112523572742,2
"200",0.205541101713122,1.97004689103023,2
