"","X.1","X.2","z"
"1",-1.09376117140905,-1.39137499502063,1
"2",-1.21934820797723,-1.30020999952246,1
"3",-2.40417847693719,-0.506771438338144,1
"4",-2.34877300445325,-2.54530385251841,1
"5",-0.824584313687464,-1.92365627514351,1
"6",-1.74206931420479,-1.90920925690293,1
"7",-0.863864706131314,-1.8053493530988,1
"8",-1.5297277497136,-1.57972233419575,1
"9",-0.804370660995658,-0.48377716762448,1
"10",-1.86983205516878,-1.7012683490468,1
"11",-0.783363707023104,-1.06475933235297,1
"12",-2.83927430340102,-1.71992784181358,1
"13",-1.71471763486963,-0.69804804948519,1
"14",-0.940600046320507,-2.46033893260958,1
"15",-0.05118270663887,-1.23391703897017,1
"16",-0.996912447868172,-2.20166001103542,1
"17",-1.24402496131578,-2.03559683820316,1
"18",-1.65054216198011,-1.59806547992437,1
"19",-1.20693349097057,-0.844138094356741,1
"20",-1.84861957112585,-1.37550810726532,1
"21",-1.32079165384487,-0.979385734443081,1
"22",-1.54690726843314,-1.54909263124978,1
"23",-2.11110883631983,-2.18581248094639,1
"24",-1.67718037995471,-1.10374835304065,1
"25",-2.04726930771828,-1.19829000753688,1
"26",-1.15404508637037,-1.22422289198705,1
"27",-2.28367309348607,-1.67033064386923,1
"28",-2.50128810103904,-1.79168347136291,1
"29",-1.9040584860169,-0.969841375521772,1
"30",-1.34747886581127,-1.44988937798051,1
"31",-1.5781747277348,-0.944849059155916,1
"32",-1.25680357392331,-1.46617798769748,1
"33",-1.11401403699623,-2.00920647096034,1
"34",-2.24040177068703,-0.60571877663473,1
"35",-0.970389158526847,-0.439717506492416,1
"36",-0.114558321580975,-0.773749702871601,1
"37",-1.34854249251745,-1.58924696850871,1
"38",-1.91247258059577,-1.39177726810941,1
"39",-1.40704275941599,-1.89510575844339,1
"40",-1.88670585629678,-1.89343782447943,1
"41",-0.763835820129758,-1.33572898028358,1
"42",-0.095878932936689,-1.64307974054833,1
"43",-2.06959398428929,-0.797553369433047,1
"44",-1.48361033821951,-1.25981843290584,1
"45",-1.68149206128343,-1.07121311566144,1
"46",-1.46508481362761,-2.50672820729508,1
"47",-0.568963275358876,-0.341487712253103,1
"48",-1.97224788904799,-1.39916101736066,1
"49",-1.45956914610039,-0.665857022248914,1
"50",-0.410538221433175,-0.610622838421494,1
"51",-1.48362107426083,-1.36779945742649,1
"52",-0.281998079401644,-0.954601832638902,1
"53",-1.88832686607914,-1.80984869629247,1
"54",-1.60978426523944,-1.52372809957157,1
"55",-1.68147352508889,-1.26145647068414,1
"56",-1.01431126060925,-2.14234447215156,1
"57",-1.69522821245266,-1.61261377257605,1
"58",-1.66803660351388,-1.8939602232748,1
"59",-1.6258529625275,-2.11053470056048,1
"60",-2.33144393710837,-2.24593329591162,1
"61",-1.59321459984885,-1.87236687767105,1
"62",-1.11401960270987,-1.31510461547783,1
"63",-1.5300378821813,-1.20946063538595,1
"64",-2.7619641611448,-1.04545769004596,1
"65",-1.63788847272892,-1.77535125224773,1
"66",-1.79261935883813,-0.519544659864184,1
"67",-1.76967364419874,-0.054542808587361,1
"68",-1.51426014993858,-2.0199717305856,1
"69",-0.240905907567015,-0.592581816343835,1
"70",-1.04050086773487,-1.35602065523706,1
"71",-2.37090145534748,-1.58716544344519,1
"72",-0.761845583998591,-1.91036106580515,1
"73",-1.22277281776552,-1.20518911320536,1
"74",-0.62290910760435,-1.39593886200285,1
"75",-2.09654463732043,-1.58139161254124,1
"76",-0.698035452119925,-1.61522562213395,1
"77",-1.40701012653056,-1.26244377982513,1
"78",-0.589016795421718,-1.55597702079542,1
"79",-1.08517698901841,-1.39062194557509,1
"80",-2.56872443965259,-1.34127715790356,1
"81",-1.05128834947046,-1.12139212872475,1
"82",-1.47258011307703,-0.637158409245493,1
"83",-2.20834921558175,-2.37288164505884,1
"84",-1.04435833060507,-2.07854415936296,1
"85",-0.985544100542643,-1.69622864812191,1
"86",-1.30458206375299,-1.71318525818059,1
"87",-1.92942906932426,-0.426636274077622,1
"88",-1.43246449658087,-0.710268768239481,1
"89",-0.947942791778261,-1.35477445597203,1
"90",-2.39099564101524,-1.38460130442249,1
"91",-0.795991791034339,-1.27038206736019,1
"92",-0.037234198047574,-2.29509587105302,1
"93",-1.88955300491437,-3.5111276883488,1
"94",-0.498794986048305,-1.39916880934287,1
"95",-1.10523427159586,-1.30197472967633,1
"96",-1.45493564980122,-1.05906490465701,1
"97",-1.7371797550668,-0.874955908892367,1
"98",-2.03922891643207,-0.943071045951623,1
"99",-2.44493271318896,-1.16582492892959,1
"100",-1.08178104735091,-1.91624380129749,1
"101",0.769865135149851,1.59890150405674,2
"102",1.66268483218222,1.84728916362941,2
"103",3.12242901643356,1.05190956751686,2
"104",0.877044734021731,2.35973526027913,2
"105",1.22698712165146,1.47182036643331,2
"106",-1.6189239734922,3.50674909924463,2
"107",2.32309977498381,0.669979238924373,2
"108",1.7860669236614,1.71696791230774,2
"109",1.81387058854467,2.39223085319603,2
"110",2.43428249219609,0.491089803368252,2
"111",1.25769645945505,-0.73374068475631,2
"112",1.5271598627645,0.081053799749057,2
"113",2.15138033439856,1.93099427154182,2
"114",1.42943617722709,0.899624840517445,2
"115",4.73160338290695,-1.20303478389917,2
"116",2.74850785648608,0.394881638591326,2
"117",0.846970249353137,0.312044866154816,2
"118",1.88359673282649,1.53127068064658,2
"119",0.562224616416744,1.97130804635083,2
"120",-0.10138859521377,3.36977558171087,2
"121",1.41605607072497,2.15059896844162,2
"122",4.1816576548577,0.150722725919307,2
"123",2.36873894976732,0.36975414134489,2
"124",1.94976872842324,1.19390667657523,2
"125",1.96454167448845,0.479008860077811,2
"126",2.60307366775149,-0.55003342603861,2
"127",-0.2154151847515,2.02912911824144,2
"128",0.624215376073391,1.62622775248389,2
"129",2.7143085009072,1.4008265064258,2
"130",0.670682274796466,3.09743893214624,2
"131",1.83740310399939,0.584030521473475,2
"132",0.158017616982252,1.67264936485409,2
"133",0.673267935408387,2.3717844091084,2
"134",2.69261624875223,2.55657768213573,2
"135",1.79213184454897,0.382611704368676,2
"136",0.509761841665599,0.843785684896454,2
"137",1.72980770417174,2.70621740890394,2
"138",3.0838380591555,1.18532870766396,2
"139",2.14460221521631,1.86215294963471,2
"140",0.535195466387002,3.05969007573444,2
